organization,broad_org,state,type,medical_position,medicine_type,department,year,amount
partnership for a drug free community of south florida inc,partnership for a drug free america inc,florida,anti-drug non-profit,,other,pur pharma fund,2004,1000
passaic county police chiefs assn,passaic county police chiefs assn,none,law enforcement,,police chiefs association,executive admin,2003,330
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,other,pur pharma fund,2003,2750
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,other,pur pharma fund,2004,3000
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,other,pur pharma fund,2005,156500
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,other,pur pharma fund,2006,151500
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,other,st. gov leg  aff,2003,250
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,other,st. gov leg  aff,2005,250
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,other,st. gov leg  aff,2007,152000
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,other,st. gov leg  aff,2008,12500
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,other,st. gov leg  aff,2009,1010000
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,other,st. gov leg  aff,2010,1020000
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,other,st. gov leg  aff,2011,1000000
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,other,st. gov leg  aff,2012,1065000
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,other,st. gov leg  aff,2013,510000
patient advocate foundation,patient advocate foundation,none,medical,patient advocacy,other,st. gov leg  aff,2014,7500
patient alliance for neuroendocrine immune disord org for res & adv inc,patient alliance for neuroendocrine immune disord org for res & adv inc,none,medical,patient advocacy,other,pur pharma fund,2006,10000
patient alliance for neuroendocrine immune disord org for res & adv inc,patient alliance for neuroendocrine immune disord org for res & adv inc,none,medical,patient advocacy,other,st. gov leg  aff,2011,5000
patient alliance for neuroendocrine immune disord org for res & adv inc,patient alliance for neuroendocrine immune disord org for res & adv inc,none,medical,patient advocacy,other,st. gov leg  aff,2012,10000
pediatric anesthesiology foundation,pediatric anesthesiology foundation,none,other,,anesthesia,sales force,2002,350
penns wood chapter of the oncology nursing society,penns wood chapter of the oncology nursing society,none,medical,nurse,oncology,conventions,2005,400
penns wood chapter of the oncology nursing society,penns wood chapter of the oncology nursing society,none,medical,nurse,oncology,conventions,2006,500
penns wood chapter of the oncology nursing society,penns wood chapter of the oncology nursing society,none,medical,nurse,oncology,conventions,2007,500
pennsylvania academy of family physicians foundation,academy of family physicians,pennsylvania,medical,physician,family,conventions,2003,500
pennsylvania academy of family physicians foundation,academy of family physicians,pennsylvania,medical,physician,family,conventions,2004,1000
pennsylvania academy of family physicians foundation,academy of family physicians,pennsylvania,medical,physician,family,conventions,2013,850
pennsylvania academy of family physicians foundation,academy of family physicians,pennsylvania,medical,physician,family,conventions,2014,850
pennsylvania academy of family physicians foundation,academy of family physicians,pennsylvania,medical,physician,family,health policy,2009,300
pennsylvania academy of family physicians foundation,academy of family physicians,pennsylvania,medical,physician,family,health policy,2010,300
pennsylvania academy of family physicians foundation,academy of family physicians,pennsylvania,medical,physician,family,health policy,2011,650
pennsylvania academy of family physicians foundation,academy of family physicians,pennsylvania,medical,physician,family,medical ed,2002,3000
pennsylvania academy of family physicians foundation,academy of family physicians,pennsylvania,medical,physician,family,medical ed,2003,3953
pennsylvania academy of family physicians foundation,academy of family physicians,pennsylvania,medical,physician,family,medical ed,2004,2500
pennsylvania academy of family physicians foundation,academy of family physicians,pennsylvania,medical,physician,family,medical ed,2005,5000
pennsylvania academy of family physicians foundation,academy of family physicians,pennsylvania,medical,physician,family,medical ed,2008,3750
pennsylvania academy of family physicians foundation,academy of family physicians,pennsylvania,medical,physician,family,medical ed,2010,25000
pennsylvania academy of family physicians foundation,academy of family physicians,pennsylvania,medical,physician,family,medical ed,2014,19200
pennsylvania assoc director of nursing administration,assoc of directors of nursing administration,pennsylvania,medical,nurse,other,conventions,2004,925
pennsylvania assoc director of nursing administration,assoc of directors of nursing administration,pennsylvania,medical,nurse,other,sales force,2002,620
pennsylvania chiefs of police association,NA,NA,NA,,NA,lele,2004,595
pennsylvania chiefs of police association,NA,NA,NA,,NA,lele,2006,3115
pennsylvania chiefs of police association,NA,NA,NA,,NA,lele,2007,3620
pennsylvania chiefs of police association,NA,NA,NA,,NA,lele,2008,4210
pennsylvania chiefs of police association,NA,NA,NA,,NA,lele,2010,3400
pennsylvania chiefs of police association,NA,NA,NA,,NA,lele,2011,3400
pennsylvania chiefs of police association,NA,NA,NA,,NA,lele,2012,2500
pennsylvania chiefs of police association,NA,NA,NA,,NA,lele,2013,740
pennsylvania medical directors association,medical directors association,pennsylvania,medical,medical director,other,conventions,2003,1000
pennsylvania medical directors association,medical directors association,pennsylvania,medical,medical director,other,medical ed,2002,1000
pennsylvania pharmacists assoc,pharmacists association,pennsylvania,medical,pharmacist,other,conventions,2004,489
pennsylvania pharmacists assoc,pharmacists association,pennsylvania,medical,pharmacist,other,conventions,2005,50
pennsylvania pharmacists assoc,pharmacists association,pennsylvania,medical,pharmacist,other,lecture programs,2003,3500
pennsylvania pharmacists assoc,pharmacists association,pennsylvania,medical,pharmacist,other,medical ed,2005,1000
pennsylvania pharmacists assoc,pharmacists association,pennsylvania,medical,pharmacist,other,medical ed,2009,1500
pennsylvania pharmacists assoc,pharmacists association,pennsylvania,medical,pharmacist,other,medical ed,2010,2000
pennsylvania pharmacists assoc,pharmacists association,pennsylvania,medical,pharmacist,other,medical ed,2011,1500
pennsylvania society of health system pharmacists,society of health system pharmacists,pennsylvania,medical,pharmacist,other,conventions,2003,1000
pennsylvania society of health system pharmacists,society of health system pharmacists,pennsylvania,medical,pharmacist,other,managedcare ff,2002,700
pennsylvania society of health system pharmacists,society of health system pharmacists,pennsylvania,medical,pharmacist,other,medical ed,2002,18715.1
pennsylvania society of health system pharmacists,society of health system pharmacists,pennsylvania,medical,pharmacist,other,medical ed,2003,27744.26
pennsylvania society of health system pharmacists,society of health system pharmacists,pennsylvania,medical,pharmacist,other,medical ed,2004,20270
pennsylvania society of oncology and hematology,society of oncology and hematology,pennsylvania,other,,oncology,conventions,2002,1000
pennsylvania society of oncology and hematology,society of oncology and hematology,pennsylvania,other,,oncology,conventions,2003,1000
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,other,,other,chemical dev,2003,825
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,other,,other,dom oth inc_exp,2015,1211751
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,other,,other,executive admin,2014,1249746
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,other,,other,fed gov affairs,2004,11506.25
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,other,,other,fed gov affairs,2008,1062434
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,other,,other,fed gov affairs,2009,2474730
pharmaceutical research & manufacturers of america,pharmaceutical research & manufacturers of america,none,other,,other,fed gov affairs,2010,3770300
