organization,broad_org,state,type,position,subtype,department,year,amount
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,st. gov leg  aff,2013,17500
reflex sympathetic dystrophy of america,reflex sympathetic dystrophy of america,none,medical,general,pain,st. gov leg  aff,2014,12500
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,reg affairs,2005,45189
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,reg affairs,2006,60600
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,reg affairs,2007,60500
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,reg affairs,2008,60500
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,reg affairs,2009,61507
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,reg affairs,2010,60500
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,rqa ardsley,2003,320
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,st. gov leg  aff,2011,60500
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,st. gov leg  aff,2012,60500
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,st. gov leg  aff,2014,60500
consumer healthcare products association,consumer healthcare products association,none,trade association,NA,NA,st. gov leg  aff,2015,60500
healthcare convention & exhibitors association,healthcare convention & exhibitors association,none,trade association,NA,NA,conventions,2002,1190
healthcare convention & exhibitors association,healthcare convention & exhibitors association,none,trade association,NA,NA,conventions,2003,595
researchamerica,researchamerica,none,medical,advocacy,general,executive admin,2006,10000
researchamerica,researchamerica,none,medical,advocacy,general,executive admin,2007,6000
researchamerica,researchamerica,none,medical,advocacy,general,executive admin,2008,6000
researchamerica,researchamerica,none,medical,advocacy,general,executive admin,2009,6000
researchamerica,researchamerica,none,medical,advocacy,general,executive admin,2010,6000
researchamerica,researchamerica,none,medical,advocacy,general,executive admin,2011,6000
researchamerica,researchamerica,none,medical,advocacy,general,public affairs,2003,95000
researchamerica,researchamerica,none,medical,advocacy,general,public affairs,2014,6000
researchamerica,researchamerica,none,medical,advocacy,general,st. gov leg  aff,2013,20000
researchamerica,researchamerica,none,medical,advocacy,general,st. gov leg  aff,2014,2500
healthcare convention & exhibitors association,healthcare convention & exhibitors association,none,trade association,NA,NA,marketing,2006,595
johns hopkins university,johns hopkins university,none,university,NA,NA,analgesic,2004,99620
johns hopkins university,johns hopkins university,none,university,NA,NA,analgesic,2005,104358.72
johns hopkins university,johns hopkins university,none,university,NA,NA,analgesic,2006,17393.28
sickle cell disease association of america inc,sickle cell disease association of america inc,none,medical,general,sickle cell,medical ed,2004,5000
sickle cell disease association of america inc,sickle cell disease association of america inc,none,medical,general,sickle cell,medical ed,2006,5000
sickle cell disease association of america inc,sickle cell disease association of america inc,none,medical,general,sickle cell,pur pharma fund,2006,2500
sickle cell disease association of america inc,sickle cell disease association of america inc,none,medical,general,sickle cell,st. gov leg  aff,2012,250
sickle cell disease association of piedmont,sickle cell disease association of america inc,none,medical,general,sickle cell,lecture program,2004,4000
sickle cell foundation of palm beach county inc,sickle cell foundation of palm beach county inc,none,medical,general,sickle cell,lecture program,2002,1500
sickle cell foundation of palm beach county inc,sickle cell foundation of palm beach county inc,none,medical,general,sickle cell,st. gov leg  aff,2007,1000
sickle cell foundation of palm beach county inc,sickle cell foundation of palm beach county inc,none,medical,general,sickle cell,st. gov leg  aff,2008,1000
american soc of addiction medicine,soc of addiction medicine,none,medical,general,addiction,analgesic,2002,694.4
american soc of addiction medicine,soc of addiction medicine,none,medical,general,addiction,analgesic,2003,25970
american soc of addiction medicine,soc of addiction medicine,none,medical,general,addiction,analgesic,2004,350
american soc of addiction medicine,soc of addiction medicine,none,medical,general,addiction,analgesic,2005,120
american soc of addiction medicine,soc of addiction medicine,none,medical,general,addiction,medical ed,2002,30000
american soc of addiction medicine,soc of addiction medicine,none,medical,general,addiction,medical ed,2003,15000
american soc of addiction medicine,soc of addiction medicine,none,medical,general,addiction,medical ed,2004,11000
american soc of addiction medicine,soc of addiction medicine,none,medical,general,addiction,medical ed,2005,20000
american soc of addiction medicine,soc of addiction medicine,none,medical,general,addiction,medical ed,2006,2500
american soc of addiction medicine,soc of addiction medicine,none,medical,general,addiction,pur pharma fund,2004,5000
american society for clinical pharmacology,society for clinical pharmacology,none,medical,pharmacist,other,clinical pharm,2002,330
society for womens health research,society for womens health research,none,medical,general,women's health,medical ed,2012,15000
society for womens health research,society for womens health research,none,medical,general,women's health,patient & professional relations,2015,15000
society for womens health research,society for womens health research,none,medical,general,women's health,public affairs,2010,10000
society for womens health research,society for womens health research,none,medical,general,women's health,st. gov leg  aff,2009,11000
society for womens health research,society for womens health research,none,medical,general,women's health,st. gov leg  aff,2010,1000
society for womens health research,society for womens health research,none,medical,general,women's health,st. gov leg  aff,2011,1000
society for womens health research,society for womens health research,none,medical,general,women's health,st. gov leg  aff,2012,1000
society for womens health research,society for womens health research,none,medical,general,women's health,st. gov leg  aff,2013,16000
society for womens health research,society for womens health research,none,medical,general,women's health,st. gov leg  aff,2014,15000
new england society of anesthesiologists inc,society of anesthesiologists,none,medical,general,anesthesia,conventions,2003,750
american society of anesthesiologists,society of anesthesiologists,none,medical,physician,anesthesia,clinical rsch,2002,1900
american society of anesthesiologists,society of anesthesiologists,none,medical,physician,anesthesia,clinical rsch 3,2003,450
american society of anesthesiologists,society of anesthesiologists,none,medical,physician,anesthesia,clinical rsch 3,2004,450
